Van;Tot;Duur;Aantal tropische dagen;Hoogste temperatuur;;
08/Aug/11;14/Aug/11;7;5;33.0;10/Aug/11;36.8
21 mei 1922;25 mei 1922;5;3;32.8;24 mei 1922;27.1
05/Jul/23;14/Jul/23;10;5;33.1;11/Jul/23;48.3
20/Jun/41;26/Jun/41;7;3;32.0;23/Jun/41;24.4
06/Jul/41;13/Jul/41;8;6;32.2;12/Jul/41;44.8
14/Aug/47;21/Aug/47;8;3;32.2;16/Aug/47;29.1
26/Jul/48;30/Jul/48;5;4;31.3;28/Jul/48;26.1
29/Jul/75;15/Aug/75;18;6;32.9;08/Aug/75;76.1
23/Jun/76;09/Jul/76;17;10;34.9;03/Jul/76;96.3
29/Jul/82;04/Aug/82;7;4;31.9;02/Aug/82;32.8
04/Jul/83;12/Jul/83;9;3;33.0;11/Jul/83;37.1
26/Jul/90;04/Aug/90;10;3;35.3;04/Aug/90;40.5
19/Jul/94;31/Jul/94;13;5;34.1;24/Jul/94;57.7
29/Jul/95;03/Aug/95;6;3;32.3;31/Jul/95;31.5
05/Aug/97;13/Aug/97;9;5;32.1;13/Aug/97;42.2
28/Jul/99;04/Aug/99;8;3;31.4;01/Aug/99;34.0
22/Aug/01;26/Aug/01;5;3;31.1;25/Aug/01;24.0
31/Jul/03;13/Aug/03;14;7;35.0;07/Aug/03;67.4
02/Aug/04;11/Aug/04;10;3;32.5;09/Aug/04;35.1
18/Jun/05;24/Jun/05;7;3;32.8;20/Jun/05;28.5
30/Jun/06;06/Jul/06;7;3;32.0;04/Jul/06;31.7
15/Jul/06;30/Jul/06;16;8;35.7;19/Jul/06;85.8
21/Jul/13;27/Jul/13;7;3;32.6;22/Jul/13;27.8
30/Jun/15;05/Jul/15;6;3;33.1;01/Jul/15;33.5
15/Jul/18;27/Jul/18;13;4;35.7;26/Jul/18;52.7
29/Jul/18;07/Aug/18;10;4;33.9;07/Aug/18;40.9
22/Jul/19;27/Jul/19;6;4;37.5;25/Jul/19;48.2
23/Aug/19;28/Aug/19;6;3;32.8;27/Aug/19;28.3
05/Aug/20;17/Aug/20;13;9;34.6;08/Aug/20;79.6
09/Aug/22;16/Aug/22;8;5;32.3;12/Aug/22;36.4